"","?","amb.sal","cyl.aca","cyl.ech","cyl.ram","ephedra","eri.fas","lar.tri","men.spi","men.spi?","PG","sal.mex","tha.mon","U?","u2","u3","yuc.sch"
"?",1,-0.18,-0.06,-0.01,-0.16,0.09,-0.18,0.1,-0.14,0.2,-0.14,-0.06,-0.17,-0.06,-0.07,-0.14,-0.1
"amb.sal",-0.18,1,-0.12,0.25,0.13,-0.07,0.16,-0.23,0.17,-0.11,0.07,-0.12,0.21,-0.11,-0.14,0.19,0.16
"cyl.aca",-0.06,-0.12,1,-0.03,-0.13,0.03,-0.02,-0.13,-0.09,-0.03,-0.09,0.66,-0.11,0.34,0.68,-0.18,-0.05
"cyl.ech",-0.01,0.25,-0.03,1,-0.01,0.1,-0.02,-0.05,-0.12,-0.11,0.13,-0.07,-0.15,-0.04,-0.05,0.19,-0.05
"cyl.ram",-0.16,0.13,-0.13,-0.01,1,0.02,0.23,-0.12,0.11,0.1,0.39,-0.13,0.12,-0.13,-0.16,0.38,0.21
"ephedra",0.09,-0.07,0.03,0.1,0.02,1,-0.16,-0.06,-0.16,-0.01,-0.03,0.11,-0.25,0.13,0.06,-0.05,-0.01
"eri.fas",-0.18,0.16,-0.02,-0.02,0.23,-0.16,1,-0.3,0.27,-0.11,0.28,-0.04,0.2,-0.08,-0.05,0.12,0.17
"lar.tri",0.1,-0.23,-0.13,-0.05,-0.12,-0.06,-0.3,1,0.16,0.02,-0.36,-0.11,0.14,-0.07,-0.12,-0.18,-0.18
"men.spi",-0.14,0.17,-0.09,-0.12,0.11,-0.16,0.27,0.16,1,-0.08,-0.09,-0.09,0.33,-0.09,-0.11,0.02,0.1
"men.spi?",0.2,-0.11,-0.03,-0.11,0.1,-0.01,-0.11,0.02,-0.08,1,-0.08,-0.03,-0.1,-0.03,-0.03,0.04,-0.05
"PG",-0.14,0.07,-0.09,0.13,0.39,-0.03,0.28,-0.36,-0.09,-0.08,1,-0.08,-0.05,-0.08,-0.09,0.39,0.13
"sal.mex",-0.06,-0.12,0.66,-0.07,-0.13,0.11,-0.04,-0.11,-0.09,-0.03,-0.08,1,-0.1,0.86,0.85,-0.06,-0.05
"tha.mon",-0.17,0.21,-0.11,-0.15,0.12,-0.25,0.2,0.14,0.33,-0.1,-0.05,-0.1,1,-0.1,-0.13,0.05,-0.08
"U?",-0.06,-0.11,0.34,-0.04,-0.13,0.13,-0.08,-0.07,-0.09,-0.03,-0.08,0.86,-0.1,1,0.66,0.02,-0.05
"u2",-0.07,-0.14,0.68,-0.05,-0.16,0.06,-0.05,-0.12,-0.11,-0.03,-0.09,0.85,-0.13,0.66,1,-0.09,-0.06
"u3",-0.14,0.19,-0.18,0.19,0.38,-0.05,0.12,-0.18,0.02,0.04,0.39,-0.06,0.05,0.02,-0.09,1,0.2
"yuc.sch",-0.1,0.16,-0.05,-0.05,0.21,-0.01,0.17,-0.18,0.1,-0.05,0.13,-0.05,-0.08,-0.05,-0.06,0.2,1
