Species,sp.simp,Type
?,noID,shrub
amb.sal,amb.sal,shrub
cyl.aca,cyl.aca,cactus
cyl.ech,cyl.ech,cactus
cyl.ram,cyl.ram,cactus
ephedra,ephedra,shrub
eri.fas,eri.fas,shrub
lar.tri,lar.tri,shrub
men.spi,men.spi,shrub
men.spi?,men.spi,shrub
PG,PG,shrub
sal.mex,sal.mex,shrub
tha.mon,tha.mon,shrub
U?,noID,shrub
u2,u2,shrub
u3,u3,shrub
yuc.sch,yuc.sch,yucca
?10,noID,shrub
amb.dum,amb.dum,shrub
dense.u3,dense.u3,shrub
eri.coo,eri.coo,shrub
s.mexicana,sal.mex,shrub
u3?,noID,shrub
amb.sal?,noID,shrub
BB?,noID,shrub
